Layer name,Ifmap height,ifmap width,filter height,filter width,channels,num filters,strides,
conv1,224,224,7,7,3,64,2,
DB1_DL1_1x1,56,56,1,1,64,128,1,
DB1_DL1_3x3,56,56,3,3,128,32,1,
DB1_DL2_1x1,56,56,1,1,96,128,1,
DB1_DL2_3x3,56,56,3,3,128,32,1,
DB1_DL3_1x1,56,56,1,1,128,128,1,
DB1_DL3_3x3,56,56,3,3,128,32,1,
DB1_DL4_1x1,56,56,1,1,160,128,1,
DB1_DL4_3x3,56,56,3,3,128,32,1,
DB1_DL5_1x1,56,56,1,1,192,128,1,
DB1_DL5_3x3,56,56,3,3,128,32,1,
DB1_DL6_1x1,56,56,1,1,224,128,1,
DB1_DL6_3x3,56,56,3,3,128,32,1,
Trans1,56,56,1,1,256,128,1,
DB2_DL1_1x1,28,28,1,1,128,128,1,
DB2_DL1_3x3,28,28,3,3,128,32,1,
DB2_DL2_1x1,28,28,1,1,160,128,1,
DB2_DL2_3x3,28,28,3,3,128,32,1,
DB2_DL3_1x1,28,28,1,1,192,128,1,
DB2_DL3_3x3,28,28,3,3,128,32,1,
DB2_DL4_1x1,28,28,1,1,224,128,1,
DB2_DL4_3x3,28,28,3,3,128,32,1,
DB2_DL5_1x1,28,28,1,1,256,128,1,
DB2_DL5_3x3,28,28,3,3,128,32,1,
DB2_DL6_1x1,28,28,1,1,288,128,1,
DB2_DL6_3x3,28,28,3,3,128,32,1,
DB2_DL7_1x1,28,28,1,1,320,128,1,
DB2_DL7_3x3,28,28,3,3,128,32,1,
DB2_DL8_1x1,28,28,1,1,352,128,1,
DB2_DL8_3x3,28,28,3,3,128,32,1,
DB2_DL9_1x1,28,28,1,1,384,128,1,
DB2_DL9_3x3,28,28,3,3,128,32,1,
DB2_DL10_1x1,28,28,1,1,416,128,1,
DB2_DL10_3x3,28,28,3,3,128,32,1,
DB2_DL11_1x1,28,28,1,1,448,128,1,
DB2_DL11_3x3,28,28,3,3,128,32,1,
DB2_DL12_1x1,28,28,1,1,480,128,1,
DB2_DL12_3x3,28,28,3,3,128,32,1,
Trans2,28,28,1,1,512,256,1,
DB3_DL1_1x1,14,14,1,1,256,128,1,
DB3_DL1_3x3,14,14,3,3,128,32,1,
DB3_DL2_1x1,14,14,1,1,288,128,1,
DB3_DL2_3x3,14,14,3,3,128,32,1,
DB3_DL3_1x1,14,14,1,1,320,128,1,
DB3_DL3_3x3,14,14,3,3,128,32,1,
DB3_DL4_1x1,14,14,1,1,352,128,1,
DB3_DL4_3x3,14,14,3,3,128,32,1,
DB3_DL5_1x1,14,14,1,1,384,128,1,
DB3_DL5_3x3,14,14,3,3,128,32,1,
DB3_DL6_1x1,14,14,1,1,416,128,1,
DB3_DL6_3x3,14,14,3,3,128,32,1,
DB3_DL7_1x1,14,14,1,1,448,128,1,
DB3_DL7_3x3,14,14,3,3,128,32,1,
DB3_DL8_1x1,14,14,1,1,480,128,1,
DB3_DL8_3x3,14,14,3,3,128,32,1,
DB3_DL9_1x1,14,14,1,1,512,128,1,
DB3_DL9_3x3,14,14,3,3,128,32,1,
DB3_DL10_1x1,14,14,1,1,544,128,1,
DB3_DL10_3x3,14,14,3,3,128,32,1,
DB3_DL11_1x1,14,14,1,1,576,128,1,
DB3_DL11_3x3,14,14,3,3,128,32,1,
DB3_DL12_1x1,14,14,1,1,608,128,1,
DB3_DL12_3x3,14,14,3,3,128,32,1,
DB3_DL13_1x1,14,14,1,1,640,128,1,
DB3_DL13_3x3,14,14,3,3,128,32,1,
DB3_DL14_1x1,14,14,1,1,672,128,1,
DB3_DL14_3x3,14,14,3,3,128,32,1,
DB3_DL15_1x1,14,14,1,1,704,128,1,
DB3_DL15_3x3,14,14,3,3,128,32,1,
DB3_DL16_1x1,14,14,1,1,736,128,1,
DB3_DL16_3x3,14,14,3,3,128,32,1,
DB3_DL17_1x1,14,14,1,1,768,128,1,
DB3_DL17_3x3,14,14,3,3,128,32,1,
DB3_DL18_1x1,14,14,1,1,800,128,1,
DB3_DL18_3x3,14,14,3,3,128,32,1,
DB3_DL19_1x1,14,14,1,1,832,128,1,
DB3_DL19_3x3,14,14,3,3,128,32,1,
DB3_DL20_1x1,14,14,1,1,864,128,1,
DB3_DL20_3x3,14,14,3,3,128,32,1,
DB3_DL21_1x1,14,14,1,1,896,128,1,
DB3_DL21_3x3,14,14,3,3,128,32,1,
DB3_DL22_1x1,14,14,1,1,928,128,1,
DB3_DL22_3x3,14,14,3,3,128,32,1,
DB3_DL23_1x1,14,14,1,1,960,128,1,
DB3_DL23_3x3,14,14,3,3,128,32,1,
DB3_DL24_1x1,14,14,1,1,992,128,1,
DB3_DL24_3x3,14,14,3,3,128,32,1,
DB3_DL25_1x1,14,14,1,1,1024,128,1,
DB3_DL25_3x3,14,14,3,3,128,32,1,
DB3_DL26_1x1,14,14,1,1,1056,128,1,
DB3_DL26_3x3,14,14,3,3,128,32,1,
DB3_DL27_1x1,14,14,1,1,1088,128,1,
DB3_DL27_3x3,14,14,3,3,128,32,1,
DB3_DL28_1x1,14,14,1,1,1120,128,1,
DB3_DL28_3x3,14,14,3,3,128,32,1,
DB3_DL29_1x1,14,14,1,1,1152,128,1,
DB3_DL29_3x3,14,14,3,3,128,32,1,
DB3_DL30_1x1,14,14,1,1,1184,128,1,
DB3_DL30_3x3,14,14,3,3,128,32,1,
DB3_DL31_1x1,14,14,1,1,1216,128,1,
DB3_DL31_3x3,14,14,3,3,128,32,1,
DB3_DL32_1x1,14,14,1,1,1248,128,1,
DB3_DL32_3x3,14,14,3,3,128,32,1,
Trans3,14,14,1,1,1280,640,1,
DB4_DL1_1x1,7,7,1,1,640,128,1,
DB4_DL1_3x3,7,7,3,3,128,32,1,
DB4_DL2_1x1,7,7,1,1,672,128,1,
DB4_DL2_3x3,7,7,3,3,128,32,1,
DB4_DL3_1x1,7,7,1,1,704,128,1,
DB4_DL3_3x3,7,7,3,3,128,32,1,
DB4_DL4_1x1,7,7,1,1,736,128,1,
DB4_DL4_3x3,7,7,3,3,128,32,1,
DB4_DL5_1x1,7,7,1,1,768,128,1,
DB4_DL5_3x3,7,7,3,3,128,32,1,
DB4_DL6_1x1,7,7,1,1,800,128,1,
DB4_DL6_3x3,7,7,3,3,128,32,1,
DB4_DL7_1x1,7,7,1,1,832,128,1,
DB4_DL7_3x3,7,7,3,3,128,32,1,
DB4_DL8_1x1,7,7,1,1,864,128,1,
DB4_DL8_3x3,7,7,3,3,128,32,1,
DB4_DL9_1x1,7,7,1,1,896,128,1,
DB4_DL9_3x3,7,7,3,3,128,32,1,
DB4_DL10_1x1,7,7,1,1,928,128,1,
DB4_DL10_3x3,7,7,3,3,128,32,1,
DB4_DL11_1x1,7,7,1,1,960,128,1,
DB4_DL11_3x3,7,7,3,3,128,32,1,
DB4_DL12_1x1,7,7,1,1,992,128,1,
DB4_DL12_3x3,7,7,3,3,128,32,1,
DB4_DL13_1x1,7,7,1,1,1024,128,1,
DB4_DL13_3x3,7,7,3,3,128,32,1,
DB4_DL14_1x1,7,7,1,1,1056,128,1,
DB4_DL14_3x3,7,7,3,3,128,32,1,
DB4_DL15_1x1,7,7,1,1,1088,128,1,
DB4_DL15_3x3,7,7,3,3,128,32,1,
DB4_DL16_1x1,7,7,1,1,1120,128,1,
DB4_DL16_3x3,7,7,3,3,128,32,1,
DB4_DL17_1x1,7,7,1,1,1152,128,1,
DB4_DL17_3x3,7,7,3,3,128,32,1,
DB4_DL18_1x1,7,7,1,1,1184,128,1,
DB4_DL18_3x3,7,7,3,3,128,32,1,
DB4_DL19_1x1,7,7,1,1,1216,128,1,
DB4_DL19_3x3,7,7,3,3,128,32,1,
DB4_DL20_1x1,7,7,1,1,1248,128,1,
DB4_DL20_3x3,7,7,3,3,128,32,1,
DB4_DL21_1x1,7,7,1,1,1280,128,1,
DB4_DL21_3x3,7,7,3,3,128,32,1,
DB4_DL22_1x1,7,7,1,1,1312,128,1,
DB4_DL22_3x3,7,7,3,3,128,32,1,
DB4_DL23_1x1,7,7,1,1,1344,128,1,
DB4_DL23_3x3,7,7,3,3,128,32,1,
DB4_DL24_1x1,7,7,1,1,1376,128,1,
DB4_DL24_3x3,7,7,3,3,128,32,1,
DB4_DL25_1x1,7,7,1,1,1408,128,1,
DB4_DL25_3x3,7,7,3,3,128,32,1,
DB4_DL26_1x1,7,7,1,1,1440,128,1,
DB4_DL26_3x3,7,7,3,3,128,32,1,
DB4_DL27_1x1,7,7,1,1,1472,128,1,
DB4_DL27_3x3,7,7,3,3,128,32,1,
DB4_DL28_1x1,7,7,1,1,1504,128,1,
DB4_DL28_3x3,7,7,3,3,128,32,1,
DB4_DL29_1x1,7,7,1,1,1536,128,1,
DB4_DL29_3x3,7,7,3,3,128,32,1,
DB4_DL30_1x1,7,7,1,1,1568,128,1,
DB4_DL30_3x3,7,7,3,3,128,32,1,
